Rank,Name,Name,Symbol,Mkt Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
1,BTCBitcoin,Bitcoin,BTC,"$1.27T$1,270,420,600,669","$64,520.28","19,690,253 BTC","$32,297,632,461",-0.30%,0.77%,1.58%
2,ETHEthereum,Ethereum,ETH,"$385.42B$385,422,665,825","$3,157.96","122,048,136 ETH *","$14,061,307,618",-0.29%,1.12%,2.87%
3,USDTTether USDt,Tether USDt,USDT,"$110.45B$110,450,511,632",$0.9999,"110,463,515,619 USDT *","$56,331,200,932",-0.01%,0.04%,-0.06%
4,BNBBNB,BNB,BNB,"$90.64B$90,638,867,284",$614.13,"147,588,217 BNB *","$1,168,634,319",0.12%,1.20%,11.51%
5,SOLSolana,Solana,SOL,"$64.87B$64,870,779,564",$145.07,"447,158,204 SOL *","$3,674,675,175",-0.91%,-1.14%,1.59%
6,USDCUSDC,USDC,USDC,"$33.35B$33,351,881,666",$0.9999,"33,352,830,557 USDC *","$7,309,381,915",0.00%,0.00%,-0.01%
7,XRPXRP,XRP,XRP,"$28.93B$28,930,532,529",$0.5248,"55,129,144,019 XRP *","$1,295,904,142",-0.63%,0.07%,4.42%
8,DOGEDogecoin,Dogecoin,DOGE,"$21.87B$21,871,470,234",$0.1518,"144,035,916,384 DOGE","$1,076,949,830",-0.41%,0.91%,-0.29%
9,TONToncoin,Toncoin,TON,"$18.88B$18,879,647,555",$5.44,"3,472,238,022 TON *","$241,864,785",-0.55%,-1.38%,-16.46%
10,ADACardano,Cardano,ADA,"$16.79B$16,790,368,577",$0.4712,"35,633,902,492 ADA *","$351,174,354",-0.66%,-0.27%,2.84%
11,SHIBShiba Inu,Shiba Inu,SHIB,"$15.19B$15,187,030,420",$0.00002577,"589,289,410,812,691 SHIB *","$769,266,574",-0.74%,1.39%,12.86%
12,AVAXAvalanche,Avalanche,AVAX,"$13.44B$13,441,756,645",$35.54,"378,196,042 AVAX *","$415,139,120",-0.69%,-1.83%,1.86%
13,TRXTRON,TRON,TRX,"$10.26B$10,260,920,598",$0.1172,"87,569,131,535 TRX *","$360,624,797",0.12%,3.60%,7.15%
14,DOTPolkadot,Polkadot,DOT,"$9.85B$9,845,268,287",$6.85,"1,437,735,202 DOT *","$184,167,079",-0.74%,-0.65%,0.93%
15,BCHBitcoin Cash,Bitcoin Cash,BCH,"$9.44B$9,437,400,649",$479.13,"19,697,091 BCH","$337,738,773",-0.22%,0.58%,-1.07%
16,LINKChainlink,Chainlink,LINK,"$8.57B$8,565,450,613",$14.59,"587,099,970 LINK *","$340,067,055",-0.67%,1.07%,4.76%
17,NEARNEAR Protocol, Protocol,NEAR,"$7.57B$7,571,982,106",$7.10,"1,065,751,505 NEAR *","$660,008,600",-0.88%,5.44%,24.61%
18,MATICPolygon,Polygon,MATIC,"$7.13B$7,129,693,747",$0.7202,"9,899,051,766 MATIC *","$274,227,937",-0.08%,2.76%,6.08%
19,ICPInternet Computer,Internet Computer,ICP,"$6.38B$6,381,597,104",$13.78,"463,128,440 ICP *","$144,270,162",0.19%,1.41%,6.78%
20,LTCLitecoin,Litecoin,LTC,"$6.25B$6,245,798,993",$83.88,"74,462,681 LTC","$460,058,252",-0.41%,1.40%,3.47%
21,LEOUNUS SED LEO,UNUS SED ,LEO,"$5.42B$5,415,438,438",$5.84,"926,547,188 LEO *","$2,859,394",-0.16%,1.37%,-0.23%
22,DAIDai,Dai,DAI,"$5.35B$5,348,127,000",$1.00,"5,347,888,596 DAI *","$525,866,677",0.00%,0.01%,<0.01%
23,UNIUniswap,Uniswap,UNI,"$4.76B$4,761,917,859",$7.95,"598,736,140 UNI *","$144,538,556",0.33%,3.86%,8.73%
24,FDUSDFirst Digital USD,First Digital USD,FDUSD,"$4.42B$4,416,975,681",$1.00,"4,413,273,465 FDUSD *","$11,178,536,835",-0.02%,0.09%,0.10%
25,HBARHedera,Hedera,HBAR,"$4.29B$4,285,416,760",$0.1199,"35,742,801,273 HBAR *","$727,332,359",-0.34%,-1.22%,45.48%
26,STXStacks,Stacks,STX,"$3.89B$3,885,709,239",$2.67,"1,454,261,347 STX","$126,338,696",-1.06%,-0.88%,8.98%
27,ETCEthereum Classic,Ethereum Classic,ETC,"$3.89B$3,885,946,457",$26.48,"146,737,225 ETC","$182,444,477",-0.51%,1.16%,1.07%
28,APTAptos,Aptos,APT,"$3.85B$3,853,710,862",$9.04,"426,373,271 APT *","$153,584,446",-0.68%,-0.69%,-4.59%
29,MNTMantle,Mantle,MNT,"$3.66B$3,663,276,534",$1.12,"3,264,441,708 MNT *","$68,442,957",-0.55%,2.03%,-4.55%
30,CROCronos,Cronos,CRO,"$3.4B$3,400,136,959",$0.128,"26,571,560,696 CRO *","$20,909,053",-0.43%,3.24%,3.65%
31,RNDRRender,Render,RNDR,"$3.35B$3,347,063,132",$8.65,"386,972,335 RNDR *","$153,572,891",-1.36%,3.42%,8.92%
32,PEPEPepe,Pepe,PEPE,"$3.3B$3,299,149,202",$0.000007842,"420,689,899,999,995 PEPE *","$1,175,383,207",-1.10%,9.08%,53.83%
33,XLMStellar,Stellar,XLM,"$3.29B$3,292,139,854",$0.1138,"28,938,906,568 XLM *","$73,209,568",-0.69%,-0.11%,2.74%
34,FILFilecoin,Filecoin,FIL,"$3.25B$3,254,299,888",$5.99,"543,297,221 FIL","$170,794,643",-0.44%,-0.40%,-0.54%
35,ATOMCosmos,Cosmos,ATOM,"$3.25B$3,247,678,303",$8.31,"390,930,671 ATOM *","$142,721,466",-0.71%,-0.50%,0.96%
36,OKBOKB,OKB,OKB,"$3.19B$3,192,710,062",$53.21,"60,000,000 OKB *","$8,808,555",-0.15%,-2.15%,-4.23%
37,WIFdogwifhat,dogwifhat,WIF,"$3.18B$3,180,791,065",$3.18,"998,906,148 WIF *","$751,220,874",-1.00%,4.79%,23.75%
38,TAOBittensor,Bittensor,TAO,"$3.07B$3,067,114,850",$461.14,"6,651,112 TAO *","$36,918,231",-0.42%,2.66%,-1.47%
39,IMXImmutable,Immutable,IMX,"$3.06B$3,056,950,189",$2.10,"1,456,815,249 IMX *","$65,652,242",-0.81%,-5.02%,3.80%
40,VETVeChain,VeChain,VET,"$2.9B$2,900,675,468",$0.03989,"72,714,516,834 VET *","$60,560,673",-0.33%,0.94%,0.34%
41,ARBArbitrum,Arbitrum,ARB,"$2.9B$2,897,384,859",$1.09,"2,653,939,384 ARB *","$264,499,648",-0.86%,-1.42%,-4.36%
42,KASKaspa,Kaspa,KAS,"$2.79B$2,790,886,055",$0.119,"23,448,414,176 KAS","$76,723,145",-0.89%,-2.08%,-0.22%
43,MKRMaker,Maker,MKR,"$2.65B$2,645,913,864","$2,860.12","925,107 MKR *","$69,043,792",-0.13%,0.50%,-5.44%
44,OPOptimism,Optimism,OP,"$2.53B$2,534,273,858",$2.42,"1,045,379,867 OP *","$207,801,079",-0.82%,0.82%,8.50%
45,GRTThe Graph,The Graph,GRT,"$2.53B$2,533,460,053",$0.2672,"9,482,909,278 GRT *","$88,873,262",-0.57%,-0.29%,4.52%
46,INJInjective,Injective,INJ,"$2.48B$2,479,340,269",$26.55,"93,400,000 INJ *","$73,866,380",-0.60%,1.00%,-4.22%
47,THETATheta Network,Theta Network,THETA,"$2.46B$2,457,326,377",$2.46,"1,000,000,000 THETA *","$72,516,283",0.58%,6.74%,17.77%
